Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 2671,West Indies,South Africa,295/7,(28.5/31 ov) 211/2,South Africa,8 wickets,Johannesburg,2008-02-03,2008
ODI # 2673,Australia,Sri Lanka,253/6,"(31.3/50 ov, T:254) 125",Australia,128 runs,Sydney,2008-02-08,2008
ODI # 2674,England,New Zealand,130,(30/50 ov) 131/4,New Zealand,6 wickets,Wellington,2008-02-09,2008
ODI # 2675,Australia,India,159,(45.5/50 ov) 160/5,India,5 wickets,Melbourne,2008-02-10,2008
ODI # 2676,India,Sri Lanka,195/5,(19/21 ov) 154/2,Sri Lanka,8 wickets,Canberra,2008-02-12,2008
ODI # 2677,England,New Zealand,158,(18.1/36 ov) 165/0,New Zealand,10 wickets,Hamilton,2008-02-12,2008
ODI # 2678,New Zealand,England,234/9,(44/47 ov) 229/4,England,6 wickets,Auckland,2008-02-15,2008
ODI # 2679,Australia,Sri Lanka,236,"(45.3/50 ov, T:237) 173",Australia,63 runs,Perth,2008-02-15,2008
ODI # 2680,Australia,India,203/9,"(41.2/50 ov, T:204) 153",Australia,50 runs,Adelaide,2008-02-17,2008
ODI # 2681,Sri Lanka,India,238/6,(49.1/50 ov) 239/8,India,2 wickets,Adelaide,2008-02-19,2008
ODI # 2683,Australia,Sri Lanka,184/7,"(29.3/29.3 ov, T:102) 77/4",Australia,24 runs,Melbourne,2008-02-22,2008
ODI # 2684,England,New Zealand,242/7,"(37/37 ov, T:180) 213/6",New Zealand,34 runs,Christchurch,2008-02-23,2008
ODI # 2685,Australia,India,317/7,"(49.1/50 ov, T:318) 299",Australia,18 runs,Sydney,2008-02-24,2008
ODI # 2686,Sri Lanka,India,179,(32.2/50 ov) 180/3,India,7 wickets,Hobart,2008-02-26,2008
ODI # 2687,Sri Lanka,Australia,221,"(48.1/50 ov, T:222) 208",Sri Lanka,13 runs,Melbourne,2008-02-29,2008
ODI # 2688,Australia,India,239/8,"(45.5/50 ov, T:240) 242/4",India,6 wickets,Sydney,2008-03-02,2008
ODI # 2689,India,Australia,258/9,"(49.4/50 ov, T:259) 249",India,9 runs,Brisbane,2008-03-04,2008
ODI # 2690,Bangladesh,South Africa,178,"(36.5/50 ov, T:179) 180/1",South Africa,9 wickets,Chattogram,2008-03-09,2008
ODI # 2691,Bangladesh,South Africa,173,"(48.1/50 ov, T:174) 179/3",South Africa,7 wickets,Mirpur,2008-03-12,2008
ODI # 2692,Bangladesh,South Africa,143,"(34.2/50 ov, T:144) 147/3",South Africa,7 wickets,Mirpur,2008-03-14,2008
ODI # 2693,Ireland,Bangladesh,185/7,(39.5/50 ov) 186/2,Bangladesh,8 wickets,Mirpur,2008-03-18,2008
ODI # 2694,Bangladesh,Ireland,246/8,"(38.3/50 ov, T:247) 162",Bangladesh,84 runs,Mirpur,2008-03-20,2008
ODI # 2695,Bangladesh,Ireland,293/7,"(45.3/50 ov, T:294) 214",Bangladesh,79 runs,Mirpur,2008-03-22,2008
ODI # 2696,Pakistan,Bangladesh,322/5,"(29.5/39 ov, T:282) 129",Pakistan,152 runs,Lahore,2008-04-08,2008
ODI # 2697,Sri Lanka,West Indies,235/7,(50 ov) 236/9,West Indies,1 wicket,Port of Spain,2008-04-10,2008
ODI # 2698,Bangladesh,Pakistan,225/8,"(23.2/25 ov, T:158) 160/3",Pakistan,7 wickets,Faisalabad,2008-04-11,2008
ODI # 2699,Sri Lanka,West Indies,112/5,(20.3/25 ov) 125/3,West Indies,7 wickets,Port of Spain,2008-04-12,2008
ODI # 2700,Pakistan,Bangladesh,308/8,"(50 ov, T:309) 285/7",Pakistan,23 runs,Lahore,2008-04-13,2008
ODI # 2702,Bangladesh,Pakistan,210,"(44.3/50 ov, T:211) 212/3",Pakistan,7 wickets,Multan,2008-04-16,2008
ODI # 2703,Pakistan,Bangladesh,329/9,"(40.5/50 ov, T:330) 179",Pakistan,150 runs,Karachi,2008-04-19,2008
ODI # 2704,Pakistan,Bangladesh,233,"(40/40 ov, T:234) 163/8",Pakistan,70 runs,Mirpur,2008-06-08,2008
ODI # 2705,India,Pakistan,330/8,"(35.4/50 ov, T:331) 190",India,140 runs,Mirpur,2008-06-10,2008
ODI # 2706,Bangladesh,India,222,(35.1/50 ov) 223/3,India,7 wickets,Mirpur,2008-06-12,2008
ODI # 2707,Pakistan,India,315/3,"(48.2/50 ov, T:316) 290",Pakistan,25 runs,Mirpur,2008-06-14,2008
ODI # 2708,England,New Zealand,307/5,"(42.5/50 ov, T:308) 193",England,114 runs,Chester-le-Street,2008-06-15,2008
ODI # 2710,New Zealand,England,182,"(46.2/50 ov, T:183) 160",New Zealand,22 runs,Bristol,2008-06-21,2008
ODI # 2711,Bangladesh,United Arab Emirates,300/8,"(45.4/50 ov, T:301) 204",Bangladesh,96 runs,Lahore,2008-06-24,2008
ODI # 2712,Pakistan,Hong Kong,288/9,"(37.2/50 ov, T:289) 133",Pakistan,155 runs,Karachi,2008-06-24,2008
ODI # 2713,Australia,West Indies,273/8,"(39.5/50 ov, T:274) 189",Australia,84 runs,Kingstown,2008-06-24,2008
ODI # 2715,Sri Lanka,Bangladesh,357/9,"(50 ov, T:358) 226/7",Sri Lanka,131 runs,Lahore,2008-06-25,2008
ODI # 2716,India,Hong Kong,374/4,"(36.5/50 ov, T:375) 118",India,256 runs,Karachi,2008-06-25,2008
ODI # 2714,England,New Zealand,245,(50 ov) 246/9,New Zealand,1 wicket,The Oval,2008-06-25,2008
ODI # 2717,Pakistan,India,299/4,"(42.1/50 ov, T:300) 301/4",India,6 wickets,Karachi,2008-06-26,2008
ODI # 2718,Sri Lanka,United Arab Emirates,290/9,"(36.3/50 ov, T:291) 148",Sri Lanka,142 runs,Lahore,2008-06-26,2008
ODI # 2719,Australia,West Indies,213/5,"(41/41 ov, T:204) 140/8",Australia,63 runs,St George's,2008-06-27,2008
ODI # 2720,New Zealand,England,266/5,"(47.5/50 ov, T:267) 215",New Zealand,51 runs,Lord's,2008-06-28,2008
ODI # 2721,Bangladesh,India,283/6,(43.2/50 ov) 284/3,India,7 wickets,Karachi,2008-06-28,2008
ODI # 2722,Canada,Bermuda,155/9,"(35.3/36 ov, T:156) 158/7",Bermuda,3 wickets,King City (NW),2008-06-28,2008
ODI # 2723,Sri Lanka,Pakistan,302/7,"(50 ov, T:303) 238/9",Sri Lanka,64 runs,Karachi,2008-06-29,2008
ODI # 2724,West Indies,Australia,223,"(40.3/50 ov, T:224) 227/3",Australia,7 wickets,St George's,2008-06-29,2008
ODI # 2725,Bermuda,Canada,201/8,"(45.3/47 ov, T:196) 184",Bermuda,11 runs,King City (NW),2008-06-29,2008
ODI # 2726,Sri Lanka,Bangladesh,332/8,"(38.3/50 ov, T:333) 174",Sri Lanka,158 runs,Karachi,2008-06-30,2008
ODI # 2727,New Zealand,Ireland,402/2,"(28.4/50 ov, T:403) 112",New Zealand,290 runs,Aberdeen,2008-07-01,2008
ODI # 2728,Canada,Bermuda,276/9,"(50 ov, T:277) 199/7",Canada,77 runs,King City (NW),2008-07-01,2008
ODI # 2729,Ireland,Scotland,210/8,(47.3/50 ov) 211/5,Scotland,5 wickets,Aberdeen,2008-07-02,2008
ODI # 2730,India,Pakistan,308/7,(45.3/50 ov) 309/2,Pakistan,8 wickets,Karachi,2008-07-02,2008
ODI # 2731,Scotland,New Zealand,101,(14.4/50 ov) 102/2,New Zealand,8 wickets,Aberdeen,2008-07-03,2008
ODI # 2732,Sri Lanka,India,308/8,"(46.5/50 ov, T:309) 310/4",India,6 wickets,Karachi,2008-07-03,2008
ODI # 2733,Bangladesh,Pakistan,115,(19.4/50 ov) 116/0,Pakistan,10 wickets,Karachi,2008-07-04,2008
ODI # 2734,Australia,West Indies,282/8,"(50 ov, T:283) 281/6",Australia,1 run,Basseterre,2008-07-04,2008
ODI # 2735,Sri Lanka,India,273,"(39.3/50 ov, T:274) 173",Sri Lanka,100 runs,Karachi,2008-07-06,2008
ODI # 2736,Australia,West Indies,341/8,"(39.5/50 ov, T:342) 172",Australia,169 runs,Basseterre,2008-07-06,2008
ODI # 2737,Netherlands,Ireland,142,(29/50 ov) 143/3,Ireland,7 wickets,Dublin,2008-07-28,2008
ODI # 2738,Netherlands,Scotland,117,"(22.2/50 ov, T:118) 120/4",Scotland,6 wickets,Dublin,2008-07-29,2008
ODI # 2739,Scotland,Ireland,152/9,"(23.5/27 ov, T:128) 129/3",Ireland,7 wickets,Dublin,2008-07-31,2008
ODI # 2740,Bermuda,Netherlands,165/7,(36.1/40 ov) 174/4,Netherlands,6 wickets,Amstelveen,2008-08-08,2008
ODI # 2742,India,Sri Lanka,146,(34.5/50 ov) 147/2,Sri Lanka,8 wickets,Dambulla,2008-08-18,2008
ODI # 2744,Canada,Bermuda,260/7,"(50 ov, T:261) 235/8",Canada,25 runs,King City (NW),2008-08-18,2008
ODI # 2745,Sri Lanka,India,142,(39.4/50 ov) 143/7,India,3 wickets,Dambulla,2008-08-20,2008
ODI # 2746,Bermuda,West Indies,158/9,(31.5/50 ov) 159/4,West Indies,6 wickets,King City (NW),2008-08-20,2008
ODI # 2747,Kenya,Netherlands,118/5,"(23/24 ov, T:119) 121/4",Netherlands,6 wickets,Rotterdam,2008-08-21,2008
ODI # 2748,England,South Africa,275/4,"(49.4/50 ov, T:276) 255",England,20 runs,Leeds,2008-08-22,2008
ODI # 2749,West Indies,Canada,303/4,"(47.2/50 ov, T:304) 254",West Indies,49 runs,King City (NW),2008-08-22,2008
ODI # 2750,India,Sri Lanka,237/9,"(49/50 ov, T:238) 204",India,33 runs,Colombo (RPS),2008-08-24,2008
ODI # 2751,Ireland,Kenya,148/9,"(39/50 ov, T:149) 115",Ireland,33 runs,Belfast,2008-08-24,2008
ODI # 2752,Canada,West Indies,179,"(27.3/50 ov, T:180) 181/3",West Indies,7 wickets,King City (NW),2008-08-24,2008
ODI # 2754,South Africa,England,83,"(14.1/50 ov, T:84) 85/0",England,10 wickets,Nottingham,2008-08-26,2008
ODI # 2755,India,Sri Lanka,258,"(46.3/50 ov, T:259) 212",India,46 runs,Colombo (RPS),2008-08-27,2008
ODI # 2756,Sri Lanka,India,227/6,"(26.3/44 ov, T:216) 103",Sri Lanka,112 runs,Colombo (RPS),2008-08-29,2008
ODI # 2757,England,South Africa,296/7,"(42.4/50 ov, T:297) 170",England,126 runs,The Oval,2008-08-29,2008
ODI # 2758,Australia,Bangladesh,254/8,"(27.4/50 ov, T:255) 74",Australia,180 runs,Darwin,2008-08-30,2008
ODI # 2759,South Africa,England,183/6,(17.4/20 ov) 137/3,England,7 wickets,Lord's,2008-08-31,2008
ODI # 2760,Bangladesh,Australia,117,(22.4/50 ov) 118/2,Australia,8 wickets,Darwin,2008-09-03,2008
ODI # 2762,Australia,Bangladesh,198/5,"(29.5/50 ov, T:199) 125",Australia,73 runs,Darwin,2008-09-06,2008
ODI # 2763,New Zealand,Bangladesh,201/9,(45.3/50 ov) 202/3,Bangladesh,7 wickets,Mirpur,2008-10-09,2008
ODI # 2764,New Zealand,Bangladesh,212/9,"(42.4/50 ov, T:213) 137",New Zealand,75 runs,Mirpur,2008-10-11,2008
ODI # 2765,New Zealand,Bangladesh,249/7,"(50 ov, T:250) 170/8",New Zealand,79 runs,Chattogram,2008-10-14,2008
ODI # 2766,Zimbabwe,Ireland,303/8,"(46.1/50 ov, T:304) 147",Zimbabwe,156 runs,Nairobi (Gym),2008-10-17,2008
ODI # 2767,Ireland,Kenya,285/6,"(44/47 ov, T:286) 199",Ireland,86 runs,Nairobi (Gym),2008-10-18,2008
ODI # 2768,Kenya,Zimbabwe,285/9,"(38.1/50 ov, T:286) 190",Kenya,95 runs,Nairobi (Gym),2008-10-19,2008
ODI # 2769,South Africa,Kenya,336/7,"(49.1/50 ov, T:337) 177",South Africa,159 runs,Bloemfontein,2008-10-31,2008
ODI # 2770,Kenya,South Africa,222/9,"(35.3/50 ov, T:223) 224/3",South Africa,7 wickets,Kimberley,2008-11-02,2008
ODI # 2771,South Africa,Bangladesh,283/8,"(44.2/50 ov, T:284) 222",South Africa,61 runs,Potchefstroom,2008-11-07,2008
ODI # 2772,South Africa,Bangladesh,358/4,"(49.2/50 ov, T:359) 230",South Africa,128 runs,Benoni,2008-11-09,2008
ODI # 2773,West Indies,Pakistan,294/9,(49.5/50 ov) 295/6,Pakistan,4 wickets,Abu Dhabi,2008-11-12,2008
ODI # 2774,India,England,387/5,"(37.4/50 ov, T:388) 229",India,158 runs,Rajkot,2008-11-14,2008
ODI # 2775,Pakistan,West Indies,232,"(48.5/50 ov, T:233) 208",Pakistan,24 runs,Abu Dhabi,2008-11-14,2008
ODI # 2776,Pakistan,West Indies,273/6,"(46.3/50 ov, T:274) 242",Pakistan,31 runs,Abu Dhabi,2008-11-16,2008
ODI # 2777,India,England,292/9,"(47/50 ov, T:293) 238",India,54 runs,Indore,2008-11-17,2008
ODI # 2778,England,India,240,"(40/40 ov, T:183) 198/5",India,16 runs,Kanpur,2008-11-20,2008
ODI # 2779,Zimbabwe,Sri Lanka,127,"(33.2/50 ov, T:128) 130/4",Sri Lanka,6 wickets,Harare,2008-11-20,2008
ODI # 2780,Zimbabwe,Sri Lanka,67,(17.4/50 ov) 68/1,Sri Lanka,9 wickets,Harare,2008-11-22,2008
ODI # 2781,India,England,166/4,"(22/22 ov, T:198) 178/8",India,19 runs,Bengaluru,2008-11-23,2008
ODI # 2782,Sri Lanka,Zimbabwe,171/7,"(28/28 ov, T:172) 166/7",Sri Lanka,5 runs,Harare,2008-11-24,2008
ODI # 2783,England,India,270/4,"(43.4/50 ov, T:271) 273/4",India,6 wickets,Cuttack,2008-11-26,2008
ODI # 2784,Zimbabwe,Sri Lanka,146,"(47.3/50 ov, T:147) 150/8",Sri Lanka,2 wickets,Harare,2008-11-28,2008
ODI # 2785,Sri Lanka,Zimbabwe,152,"(44/50 ov, T:153) 133",Sri Lanka,19 runs,Harare,2008-11-30,2008
ODI # 2787,New Zealand,West Indies,152/8,(27.5/28 ov) 158/5,West Indies,5 wickets,Christchurch,2009-01-03,2009
ODI # 2788,West Indies,New Zealand,128,(20.3/50 ov) 129/3,New Zealand,7 wickets,Wellington,2009-01-07,2009
ODI # 2790,Zimbabwe,Bangladesh,205/9,"(46.2/50 ov, T:206) 167",Zimbabwe,38 runs,Mirpur,2009-01-10,2009
ODI # 2791,Sri Lanka,Zimbabwe,210/6,"(28.2/50 ov, T:211) 80",Sri Lanka,130 runs,Mirpur,2009-01-12,2009
ODI # 2792,West Indies,New Zealand,293/9,"(35/35 ov, T:203) 211/5",New Zealand,9 runs,Napier,2009-01-13,2009
ODI # 2793,Sri Lanka,Bangladesh,147,"(23.5/31 ov, T:148) 151/5",Bangladesh,5 wickets,Mirpur,2009-01-14,2009
ODI # 2794,Bangladesh,Sri Lanka,152,(48.1/50 ov) 153/8,Sri Lanka,2 wickets,Mirpur,2009-01-16,2009
ODI # 2795,Australia,South Africa,271/8,(49.3/50 ov) 272/7,South Africa,3 wickets,Melbourne,2009-01-16,2009
ODI # 2796,Australia,South Africa,249/9,"(50 ov, T:250) 244/6",Australia,5 runs,Hobart,2009-01-18,2009
ODI # 2797,Bangladesh,Zimbabwe,124,"(49.2/50 ov, T:125) 127/8",Zimbabwe,2 wickets,Mirpur,2009-01-19,2009
ODI # 2798,Sri Lanka,Pakistan,219,(45.5/50 ov) 220/2,Pakistan,8 wickets,Karachi,2009-01-20,2009
ODI # 2799,Zimbabwe,Bangladesh,160/9,"(44.5/50 ov, T:161) 164/4",Bangladesh,6 wickets,Mirpur,2009-01-21,2009
ODI # 2800,Sri Lanka,Pakistan,290/8,"(34.5/50 ov, T:291) 161",Sri Lanka,129 runs,Karachi,2009-01-21,2009
ODI # 2801,Zimbabwe,Bangladesh,119/9,"(32.3/37 ov, T:120) 121/4",Bangladesh,6 wickets,Mirpur,2009-01-23,2009
ODI # 2802,Australia,South Africa,269,(46.3/50 ov) 270/7,South Africa,3 wickets,Sydney,2009-01-23,2009
ODI # 2803,Sri Lanka,Pakistan,309/5,"(22.5/50 ov, T:310) 75",Sri Lanka,234 runs,Lahore,2009-01-24,2009
ODI # 2804,Australia,South Africa,222,(38.1/50 ov) 223/2,South Africa,8 wickets,Adelaide,2009-01-26,2009
ODI # 2805,Zimbabwe,Kenya,306/7,"(46.2/50 ov, T:307) 197",Zimbabwe,109 runs,Mombasa,2009-01-27,2009
ODI # 2806,Sri Lanka,India,246/7,(48.1/50 ov) 247/4,India,6 wickets,Dambulla,2009-01-28,2009
ODI # 2807,Zimbabwe,Kenya,351/7,"(45.1/50 ov, T:352) 200",Zimbabwe,151 runs,Mombasa,2009-01-29,2009
ODI # 2808,South Africa,Australia,288/6,"(49/50 ov, T:289) 249",South Africa,39 runs,Perth,2009-01-30,2009
ODI # 2809,Kenya,Zimbabwe,234,"(48.2/50 ov, T:235) 236/6",Zimbabwe,4 wickets,Nairobi (Gym),2009-01-31,2009
ODI # 2810,India,Sri Lanka,256/9,"(49.2/50 ov, T:257) 241",India,15 runs,Colombo (RPS),2009-01-31,2009
ODI # 2811,Australia,New Zealand,181,(50 ov) 182/8,New Zealand,2 wickets,Perth,2009-02-01,2009
ODI # 2812,Zimbabwe,Kenya,285/8,"(49/50 ov, T:286) 219",Zimbabwe,66 runs,Nairobi (Gym),2009-02-01,2009
ODI # 2813,India,Sri Lanka,363/5,"(41.4/50 ov, T:364) 216",India,147 runs,Colombo (RPS),2009-02-03,2009
ODI # 2814,Kenya,Zimbabwe,199,"(35/50 ov, T:200) 203/3",Zimbabwe,7 wickets,Nairobi (Gym),2009-02-04,2009
ODI # 2815,India,Sri Lanka,332/5,"(48/50 ov, T:333) 265",India,67 runs,Colombo (RPS),2009-02-05,2009
ODI # 2816,Australia,New Zealand,225/5,(48.5/50 ov) 226/4,New Zealand,6 wickets,Melbourne,2009-02-06,2009
ODI # 2817,Australia,New Zealand,301/9,"(47.3/50 ov, T:302) 269",Australia,32 runs,Sydney,2009-02-08,2009
ODI # 2818,Sri Lanka,India,320/8,"(48.5/50 ov, T:321) 252",Sri Lanka,68 runs,Colombo (RPS),2009-02-08,2009
ODI # 2819,New Zealand,Australia,244/8,"(48.2/50 ov, T:245) 247/4",Australia,6 wickets,Adelaide,2009-02-10,2009
ODI # 2821,India,New Zealand,273/4,"(28/28 ov, T:216) 162/9",India,53 runs,Napier,2009-03-03,2009
ODI # 2823,India,New Zealand,392/4,"(45.1/50 ov, T:393) 334",India,58 runs,Christchurch,2009-03-08,2009
ODI # 2824,New Zealand,India,270/5,"(23.3/23.3 ov, T:118) 201/0",India,84 runs,Hamilton,2009-03-11,2009
ODI # 2825,India,New Zealand,149,"(23.2/43 ov, T:150) 151/2",New Zealand,8 wickets,Auckland,2009-03-14,2009
ODI # 2826,England,West Indies,270/7,"(46.2/46.2 ov, T:246) 244/7",England,1 run,Providence,2009-03-20,2009
ODI # 2827,West Indies,England,264/8,"(48.2/50 ov, T:265) 243",West Indies,21 runs,Providence,2009-03-22,2009
ODI # 2828,England,West Indies,117,(14.4/44 ov) 117/2,West Indies,8 wickets,Bridgetown,2009-03-27,2009
ODI # 2829,West Indies,England,239/9,"(18.3/20 ov, T:135) 136/1",England,9 wickets,Bridgetown,2009-03-29,2009
ODI # 2830,Scotland,Ireland,232/7,(37.4/50 ov) 233/3,Ireland,7 wickets,Benoni,2009-04-01,2009
ODI # 2831,Kenya,Netherlands,247/8,(46.2/50 ov) 248/3,Netherlands,7 wickets,Potchefstroom,2009-04-01,2009
ODI # 2832,Australia,South Africa,286/7,"(33.1/50 ov, T:287) 145",Australia,141 runs,Durban,2009-04-03,2009
ODI # 2833,England,West Indies,172/5,"(28/29 ov, T:173) 146",England,26 runs,Gros Islet,2009-04-03,2009
ODI # 2834,Australia,South Africa,131,(26.2/50 ov) 132/3,South Africa,7 wickets,Centurion,2009-04-05,2009
ODI # 2835,Bermuda,Kenya,259/5,(45/50 ov) 260/3,Kenya,7 wickets,Potchefstroom,2009-04-06,2009
ODI # 2836,Canada,Ireland,220,"(41/50 ov, T:221) 223/4",Ireland,6 wickets,Benoni,2009-04-06,2009
ODI # 2837,Netherlands,Bermuda,304/9,"(50 ov, T:305) 241/9",Netherlands,63 runs,Potchefstroom,2009-04-08,2009
ODI # 2838,Canada,Scotland,252/7,"(30.5/50 ov, T:253) 104",Canada,148 runs,Benoni,2009-04-08,2009
ODI # 2839,South Africa,Australia,289/6,"(50 ov, T:290) 264/7",South Africa,25 runs,Cape Town,2009-04-09,2009
ODI # 2840,South Africa,Australia,317/6,"(45.5/50 ov, T:318) 256",South Africa,61 runs,Gqeberha,2009-04-13,2009
ODI # 2841,Australia,South Africa,303/7,"(45.5/50 ov, T:304) 256",Australia,47 runs,Johannesburg,2009-04-17,2009
ODI # 2842,Afghanistan,Scotland,295/8,"(40/50 ov, T:296) 206",Afghanistan,89 runs,Benoni,2009-04-19,2009
ODI # 2843,Canada,Ireland,185,"(42.3/50 ov, T:186) 188/1",Ireland,9 wickets,Centurion,2009-04-19,2009
ODI # 2844,Kenya,Netherlands,179,"(32.1/50 ov, T:180) 183/4",Netherlands,6 wickets,Potchefstroom,2009-04-19,2009
ODI # 2845,Australia,Pakistan,168,"(44.1/50 ov, T:169) 171/6",Pakistan,4 wickets,Dubai (DSC),2009-04-22,2009
ODI # 2846,Pakistan,Australia,207,(45.1/50 ov) 208/4,Australia,6 wickets,Dubai (DSC),2009-04-24,2009
ODI # 2847,Australia,Pakistan,198/7,"(47.1/50 ov, T:199) 171",Australia,27 runs,Abu Dhabi,2009-04-27,2009
ODI # 2848,Pakistan,Australia,197,"(44.2/50 ov, T:198) 200/2",Australia,8 wickets,Abu Dhabi,2009-05-01,2009
ODI # 2849,Australia,Pakistan,250/4,"(47/50 ov, T:251) 254/3",Pakistan,7 wickets,Abu Dhabi,2009-05-03,2009
ODI # 2850,West Indies,England,160,(36/50 ov) 161/4,England,6 wickets,Bristol,2009-05-24,2009
ODI # 2851,England,West Indies,328/7,"(49.4/50 ov, T:329) 270",England,58 runs,Birmingham,2009-05-26,2009
ODI # 2852,India,West Indies,339/6,"(48.1/50 ov, T:340) 319",India,20 runs,Kingston,2009-06-26,2009
ODI # 2853,India,West Indies,188,"(34.1/50 ov, T:189) 192/2",West Indies,8 wickets,Kingston,2009-06-28,2009
ODI # 2854,West Indies,India,186/7,(21.5/22 ov) 159/4,India,6 wickets,Gros Islet,2009-07-03,2009
ODI # 2856,Scotland,Canada,286/4,(48.4/50 ov) 287/4,Canada,6 wickets,Aberdeen,2009-07-07,2009
ODI # 2857,Canada,Scotland,250/9,"(47.2/50 ov, T:251) 253/5",Scotland,5 wickets,Aberdeen,2009-07-08,2009
ODI # 2858,Kenya,Ireland,214/9,(48.5/50 ov) 215/7,Ireland,3 wickets,Dublin,2009-07-09,2009
ODI # 2859,Netherlands,Canada,237/7,"(39/50 ov, T:238) 187",Netherlands,50 runs,Amstelveen,2009-07-11,2009
ODI # 2860,Kenya,Ireland,175,"(21/21 ov, T:53) 104/1",Ireland,52 runs,Dublin,2009-07-11,2009
ODI # 2861,Ireland,Kenya,256/7,"(46/46 ov, T:245) 240/6",Ireland,4 runs,Dublin,2009-07-12,2009
ODI # 2862,Bangladesh,West Indies,246/9,"(43.4/50 ov, T:247) 194",Bangladesh,52 runs,Roseau,2009-07-26,2009
ODI # 2863,West Indies,Bangladesh,274/6,"(49/50 ov, T:275) 276/7",Bangladesh,3 wickets,Roseau,2009-07-28,2009
ODI # 2864,Sri Lanka,Pakistan,232/9,"(44.4/50 ov, T:233) 196",Sri Lanka,36 runs,Dambulla,2009-07-30,2009
ODI # 2865,West Indies,Bangladesh,248,(48.5/50 ov) 249/7,Bangladesh,3 wickets,Basseterre,2009-07-31,2009
ODI # 2866,Pakistan,Sri Lanka,168,(43.4/50 ov) 169/4,Sri Lanka,6 wickets,Dambulla,2009-08-01,2009
ODI # 2867,Pakistan,Sri Lanka,288/8,(46.3/50 ov) 289/4,Sri Lanka,6 wickets,Dambulla,2009-08-03,2009
ODI # 2868,Pakistan,Sri Lanka,321/5,"(36.1/50 ov, T:322) 175",Pakistan,146 runs,Colombo (RPS),2009-08-07,2009
ODI # 2869,Zimbabwe,Bangladesh,207,"(34.3/50 ov, T:208) 211/2",Bangladesh,8 wickets,Bulawayo,2009-08-09,2009
ODI # 2870,Pakistan,Sri Lanka,279/8,"(34.2/50 ov, T:280) 147",Pakistan,132 runs,Colombo (RPS),2009-08-09,2009
ODI # 2871,Bangladesh,Zimbabwe,320/8,"(46.1/50 ov, T:321) 271",Bangladesh,49 runs,Bulawayo,2009-08-11,2009
ODI # 2872,Zimbabwe,Bangladesh,323/7,"(44.2/50 ov, T:324) 254",Zimbabwe,69 runs,Bulawayo,2009-08-14,2009
ODI # 2873,Zimbabwe,Bangladesh,312/8,(47.5/50 ov) 313/6,Bangladesh,4 wickets,Bulawayo,2009-08-16,2009
ODI # 2874,Zimbabwe,Bangladesh,209,"(47.5/50 ov, T:210) 212/5",Bangladesh,5 wickets,Bulawayo,2009-08-18,2009
ODI # 2875,Kenya,Canada,113,"(16.2/50 ov, T:114) 117/1",Canada,9 wickets,King City (NW),2009-08-19,2009
ODI # 2876,Ireland,Scotland,205/9,"(40.3/50 ov, T:206) 109",Ireland,96 runs,Aberdeen,2009-08-22,2009
ODI # 2878,England,Ireland,203/9,"(20/20 ov, T:116) 112/9",England,3 runs,Belfast,2009-08-27,2009
ODI # 2879,Australia,Scotland,345,"(39.3/50 ov, T:346) 156",Australia,189 runs,Edinburgh,2009-08-28,2009
ODI # 2880,Netherlands,Afghanistan,188,"(49.5/50 ov, T:189) 180",Netherlands,8 runs,Amstelveen,2009-08-30,2009
ODI # 2881,Netherlands,Afghanistan,231/7,(46.4/50 ov) 232/4,Afghanistan,6 wickets,Amstelveen,2009-09-01,2009
ODI # 2882,Australia,England,260/5,"(50 ov, T:261) 256/8",Australia,4 runs,The Oval,2009-09-04,2009
ODI # 2883,Australia,England,249/8,"(46.1/50 ov, T:250) 210",Australia,39 runs,Lord's,2009-09-06,2009
ODI # 2884,Sri Lanka,New Zealand,216/7,"(36.1/50 ov, T:217) 119",Sri Lanka,97 runs,Colombo (RPS),2009-09-08,2009
ODI # 2885,England,Australia,228/9,"(48.3/50 ov, T:229) 230/4",Australia,6 wickets,Southampton,2009-09-09,2009
ODI # 2886,New Zealand,India,155,(40.3/50 ov) 156/4,India,6 wickets,Colombo (RPS),2009-09-11,2009
ODI # 2887,Sri Lanka,India,307/6,"(37.2/50 ov, T:308) 168",Sri Lanka,139 runs,Colombo (RPS),2009-09-12,2009
ODI # 2888,England,Australia,220,(43.4/50 ov) 221/3,Australia,7 wickets,Lord's,2009-09-12,2009
ODI # 2889,India,Sri Lanka,319/5,"(46.4/50 ov, T:320) 273",India,46 runs,Colombo (RPS),2009-09-14,2009
ODI # 2890,England,Australia,299,"(48.2/50 ov, T:300) 302/6",Australia,4 wickets,Nottingham,2009-09-15,2009
ODI # 2891,Australia,England,296/8,"(41/50 ov, T:297) 185",Australia,111 runs,Nottingham,2009-09-17,2009
ODI # 2892,Australia,England,176,(40/50 ov) 177/6,England,4 wickets,Chester-le-Street,2009-09-20,2009
ODI # 2893,Sri Lanka,South Africa,319/8,"(37.4/37.4 ov, T:262) 206/7",Sri Lanka,55 runs,Centurion,2009-09-22,2009
ODI # 2894,West Indies,Pakistan,133,(30.3/50 ov) 134/5,Pakistan,5 wickets,Johannesburg,2009-09-23,2009
ODI # 2895,New Zealand,South Africa,214,"(41.1/50 ov, T:215) 217/5",South Africa,5 wickets,Centurion,2009-09-24,2009
